LATITUDE,LONGITUD,COUNTY
37.78006389,-122.42017222,75
37.78431111,-122.43964167,75
37.74223056,-122.42429167,75
37.71346667,-122.43452778,75
37.76853611,-122.41560833,75
37.78042778,-122.41257778,75
37.77998889,-122.48576667,75
37.77152778,-122.42325,75
37.76564444,-122.47264444,75
37.78465,-122.41441389,75
37.75342778,-122.49532222,75
37.79751389,-122.43216111,75
37.78599722,-122.39094722,75
37.73208611,-122.42954722,75
37.76993889,-122.40848889,75
37.73538889,-122.379275,75
37.79266389,-122.40438889,75
37.76202778,-122.423825,75
37.72998333,-122.43001667,75
37.7495,-122.4998,75
37.78981389,-122.41907222,75
37.78441667,-122.39359444,75
37.73473056,-122.40636944,75
37.78126944,-122.45403889,75
37.73248333,-122.41440278,75
37.72303611,-122.43606111,75
37.78759722,-122.40348333,75
37.76483056,-122.41746111,75
37.74610278,-122.50277222,75
37.77408889,-122.49286944,75
37.70955833,-122.45052778,75
37.71713611,-122.424775,75
37.79447778,-122.40481111,75
37.79741667,-122.41027222,75
37.72975,-122.43330833,75
37.78706389,-122.38770833,75
37.71281111,-122.47145556,75
37.77965,-122.49436389,75
37.7223,-122.48515,75
37.76545833,-122.41310556,75
37.77729444,-122.41969444,75
37.76609722,-122.41758611,75
37.78545556,-122.42299722,75
37.73349722,-122.41146667,75
37.77006389,-122.40699722,75
37.73392778,-122.40693333,75
37.70879722,-122.41603056,75
37.79090833,-122.39932222,75
37.80435556,-122.42344167,75
37.78756667,-122.40660833,75
37.77772778,-122.40188611,75
37.79025556,-122.41556667,75
37.7168,-122.3991,75
37.80624167,-122.40873056,75
37.77623611,-122.41475278,75
37.78487778,-122.42796944,75
37.78008333,-122.39432778,75
37.71006389,-122.39148889,75
37.71523889,-122.49290833,75
37.78727222,-122.416625,75
37.74401389,-122.405725,75
37.80644722,-122.36911667,75
37.78743611,-122.43015278,75
37.75497778,-122.48191944,75
37.76846389,-122.40591944,75
37.71310278,-122.45231667,75
37.71005278,-122.45731389,75
37.77029444,-122.43723611,75
37.74918611,-122.41815556,75
37.76960278,-122.407575,75
37.77069444,-122.38958611,75
37.73367778,-122.43136111,75
37.74059444,-122.40773056,75
37.72553333,-122.40654444,75
37.71956667,-122.39936111,75
37.78059722,-122.42374167,75
37.73377778,-122.49393889,75
37.77506944,-122.41564722,75
37.72826389,-122.44598333,75
37.74402778,-122.398175,75
37.74863611,-122.47606111,75
37.78193889,-122.46539167,75
37.75868889,-122.40570278,75
37.7243,-122.45817778,75
37.77361944,-122.440925,75
37.73136944,-122.45572222,75
37.76902222,-122.40848889,75
37.77078611,-122.48823889,75
37.76868611,-122.42754444,75
37.78177222,-122.49234722,75
37.70953333,-122.419575,75
37.747325,-122.47596111,75
37.77378611,-122.40843333,75
37.77797778,-122.40939722,75
37.79900278,-122.44268889,75
37.72307778,-122.44327222,75
37.77289722,-122.47669722,75
