LATITUDE,LONGITUD,COUNTY
37.37025278,-121.91142222,85
37.50049722,-121.92908889,1
37.73498056,-122.13976667,1
37.63741111,-121.79876389,1
37.78006389,-122.42017222,75
37.64726667,-122.47193333,81
37.70076667,-122.02098611,1
37.31192222,-121.86962778,85
37.87101111,-122.27750833,1
37.32706944,-122.00808889,85
37.31406111,-121.79163333,85
37.23058889,-121.95029167,85
37.6997,-122.1083,1
37.24588333,-121.87489444,85
37.17183889,-121.67189167,85
37.32935,-122.36583611,81
37.29789722,-121.79673611,85
37.34244167,-121.85505,85
37.36191111,-122.06286944,85
37.03301667,-121.65748889,85
37.24819444,-121.96033056,85
37.44468333,-121.90679722,85
37.54145833,-122.01912222,1
37.05371111,-121.58201944,85
37.85536944,-122.49396111,41
37.7405,-121.58581944,1
37.31468056,-122.29368056,81
38.13457222,-122.68493056,41
38.10659167,-122.57876667,41
37.78431111,-122.43964167,75
37.95853611,-122.55133889,41
37.42158056,-122.09679722,85
37.7203,-121.6876,1
37.701675,-121.88870556,1
37.45373889,-122.18060278,81
37.29365833,-121.87361111,85
37.74223056,-122.42429167,75
37.43947222,-122.26403333,81
37.881075,-122.30779167,1
37.24100833,-121.79770278,85
37.44812778,-122.33533889,81
37.69763333,-122.464425,81
37.631775,-122.40318889,81
37.25363056,-121.78963056,85
37.33995833,-121.82152222,85
37.73764722,-121.61073333,1
36.97851667,-121.55673889,85
37.33550556,-121.80052778,85
37.71346667,-122.43452778,75
37.59751111,-121.859025,1
37.67032778,-121.91069444,1
37.76853611,-122.41560833,75
37.78042778,-122.41257778,75
37.51436111,-122.10834722,1
37.55185,-121.91812222,1
37.77998889,-122.48576667,75
37.05856944,-121.58685556,85
37.33419444,-122.07058889,85
37.61691667,-122.09317222,1
37.99235833,-122.5355,41
37.20998056,-121.72346111,85
37.77152778,-122.42325,75
37.0278,-121.56928056,85
37.93153333,-122.68855833,41
37.154275,-121.68737222,85
37.76564444,-122.47264444,75
36.96853333,-121.41283889,85
37.70256111,-121.75109722,1
37.30622222,-121.86366111,85
37.25585833,-121.862375,85
37.63042778,-122.08370556,1
37.72161944,-121.6528,1
37.73906389,-121.5926,1
37.78465,-122.41441389,75
37.75342778,-122.49532222,75
37.02057778,-121.58652222,85
37.15577222,-121.66365278,85
37.66568333,-122.45595278,81
37.25390278,-122.36595,81
37.10931667,-122.29456667,81
37.79751389,-122.43216111,75
37.36426944,-121.89856944,85
37.70936389,-122.123775,1
37.68006111,-122.08526389,1
37.05634167,-121.59340556,85
37.30740278,-121.87784167,85
37.5501,-122.3125,81
37.34018056,-121.73217222,85
36.95349722,-121.55228611,85
37.67510833,-121.814725,1
37.25543056,-121.79309444,85
37.11916944,-121.626725,85
37.32103333,-121.931875,85
37.55699722,-122.00459167,1
37.25263611,-121.79713889,85
37.37714722,-121.94326944,85
37.34440833,-121.856825,85
37.38600278,-122.01615556,85
37.01747222,-121.56338889,85
37.49840556,-122.32786111,81
38.14954167,-122.82394722,41
37.82268056,-122.260725,1
37.78599722,-122.39094722,75
37.03130278,-121.54328333,85
37.13241389,-121.63899444,85
37.73208611,-122.42954722,75
37.76993889,-122.40848889,75
38.24866944,-122.94276111,41
37.73538889,-122.379275,75
37.29436389,-121.92264444,85
37.36503611,-122.062825,85
37.79266389,-122.40438889,75
38.02020278,-122.72848333,41
37.76202778,-122.423825,75
37.88835556,-122.51688333,41
37.62278611,-122.40073333,81
37.542975,-122.06410556,1
37.54911111,-121.919,1
37.59463889,-121.90868889,1
37.60444722,-122.06491944,1
37.39202222,-121.99913611,85
37.72998333,-122.43001667,75
37.57881111,-121.981,1
37.61624444,-121.81376389,1
36.96864167,-121.41341389,85
37.79512222,-122.20773333,1
37.43535278,-121.923125,85
37.37141944,-121.92686944,85
38.10665,-122.51035,41
37.42179167,-121.91484722,85
37.33245833,-121.84557222,85
37.49921389,-121.92751667,1
37.11211389,-121.73671111,85
37.31318889,-122.28766111,81
37.70620833,-121.89325556,1
36.98411944,-121.583925,85
37.7495,-122.4998,75
37.78981389,-122.41907222,75
37.78441667,-122.39359444,75
37.36216944,-121.995875,85
37.33768056,-122.01707778,85
37.69187222,-122.13998889,1
37.73473056,-122.40636944,75
37.31309722,-122.17688611,81
37.78126944,-122.45403889,75
