COUNTY,DAY_WEEK,BINNED_HOUR,AVG_CRASH
SAN FRANCISCO,TUESDAY,4,5.666666666666667
SAN FRANCISCO,TUESDAY,5,5.0
SAN FRANCISCO,TUESDAY,6,3.3333333333333335
SAN FRANCISCO,WEDNESDAY,1,2.3333333333333335
SAN FRANCISCO,WEDNESDAY,2,4.0
SAN FRANCISCO,WEDNESDAY,3,4.333333333333333
SAN FRANCISCO,WEDNESDAY,4,8.0
SAN FRANCISCO,WEDNESDAY,5,9.333333333333334
SAN FRANCISCO,WEDNESDAY,6,3.6666666666666665
SAN MATEO,FRIDAY,1,8.0
SAN MATEO,FRIDAY,2,8.0
SAN MATEO,FRIDAY,3,9.333333333333334
SAN MATEO,FRIDAY,4,12.333333333333334
SAN MATEO,FRIDAY,5,12.0
SAN MATEO,FRIDAY,6,11.0
SAN MATEO,MONDAY,1,7.666666666666667
SAN MATEO,MONDAY,2,8.333333333333334
SAN MATEO,MONDAY,3,8.333333333333334
SAN MATEO,MONDAY,4,9.0
SAN MATEO,MONDAY,5,11.333333333333334
SAN MATEO,MONDAY,6,7.666666666666667
SAN MATEO,SATURDAY,1,15.333333333333334
SAN MATEO,SATURDAY,2,6.333333333333333
SAN MATEO,SATURDAY,3,8.666666666666666
SAN MATEO,SATURDAY,4,10.333333333333334
SAN MATEO,SATURDAY,5,14.0
SAN MATEO,SATURDAY,6,12.333333333333334
SAN MATEO,SUNDAY,1,18.0
SAN MATEO,SUNDAY,2,7.0
SAN MATEO,SUNDAY,3,8.0
SAN MATEO,SUNDAY,4,8.333333333333334
SAN MATEO,SUNDAY,5,13.666666666666666
SAN MATEO,SUNDAY,6,7.333333333333333
SAN MATEO,THURSDAY,1,5.0
SAN MATEO,THURSDAY,2,7.0
SAN MATEO,THURSDAY,3,9.333333333333334
SAN MATEO,THURSDAY,4,12.666666666666666
SAN MATEO,THURSDAY,5,11.333333333333334
SAN MATEO,THURSDAY,6,8.0
SAN MATEO,TUESDAY,1,5.0
SAN MATEO,TUESDAY,2,12.0
SAN MATEO,TUESDAY,3,9.0
SAN MATEO,TUESDAY,4,13.666666666666666
SAN MATEO,TUESDAY,5,11.0
SAN MATEO,TUESDAY,6,5.666666666666667
SAN MATEO,WEDNESDAY,1,10.333333333333334
SAN MATEO,WEDNESDAY,2,5.666666666666667
SAN MATEO,WEDNESDAY,3,8.666666666666666
SAN MATEO,WEDNESDAY,4,9.666666666666666
SAN MATEO,WEDNESDAY,5,12.0
SAN MATEO,WEDNESDAY,6,9.666666666666666
SANTA CLARA,FRIDAY,1,7.0
SANTA CLARA,FRIDAY,2,6.333333333333333
SANTA CLARA,FRIDAY,3,6.333333333333333
SANTA CLARA,FRIDAY,4,9.666666666666666
SANTA CLARA,FRIDAY,5,11.0
SANTA CLARA,FRIDAY,6,8.0
SANTA CLARA,MONDAY,1,7.0
SANTA CLARA,MONDAY,2,7.0
SANTA CLARA,MONDAY,3,10.333333333333334
SANTA CLARA,MONDAY,4,11.0
SANTA CLARA,MONDAY,5,13.0
SANTA CLARA,MONDAY,6,7.0
SANTA CLARA,SATURDAY,1,11.333333333333334
SANTA CLARA,SATURDAY,2,7.0
SANTA CLARA,SATURDAY,3,6.666666666666667
SANTA CLARA,SATURDAY,4,11.0
SANTA CLARA,SATURDAY,5,15.666666666666666
SANTA CLARA,SATURDAY,6,10.666666666666666
SANTA CLARA,SUNDAY,1,16.333333333333332
SANTA CLARA,SUNDAY,2,5.333333333333333
SANTA CLARA,SUNDAY,3,7.333333333333333
SANTA CLARA,SUNDAY,4,11.666666666666666
SANTA CLARA,SUNDAY,5,14.0
SANTA CLARA,SUNDAY,6,9.333333333333334
SANTA CLARA,THURSDAY,1,6.0
SANTA CLARA,THURSDAY,2,8.333333333333334
SANTA CLARA,THURSDAY,3,10.0
SANTA CLARA,THURSDAY,4,11.0
SANTA CLARA,THURSDAY,5,9.333333333333334
SANTA CLARA,THURSDAY,6,7.666666666666667
SANTA CLARA,TUESDAY,1,6.333333333333333
SANTA CLARA,TUESDAY,2,9.666666666666666
SANTA CLARA,TUESDAY,3,9.333333333333334
SANTA CLARA,TUESDAY,4,9.0
SANTA CLARA,TUESDAY,5,9.333333333333334
SANTA CLARA,TUESDAY,6,5.666666666666667
SANTA CLARA,WEDNESDAY,1,7.666666666666667
SANTA CLARA,WEDNESDAY,2,6.666666666666667
SANTA CLARA,WEDNESDAY,3,4.333333333333333
SANTA CLARA,WEDNESDAY,4,10.666666666666666
SANTA CLARA,WEDNESDAY,5,13.0
SANTA CLARA,WEDNESDAY,6,6.666666666666667
