FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
221451|Springtown|Populated Place|16063|U6|||06|CA|1|053|Monterey|36.644682|-121.6643902|01/19/1981|04/16/2018
221555|Cordelia Junction|Populated Place|16245|U6|||06|CA|1|095|Solano|38.2168601|-122.1396906|01/19/1981|
221603|Cortina Indian Rancheria|Civil|0780R|D2|||06|CA|1|011|Colusa|39.0182964|-122.2904112|01/19/1981|02/01/2019
221618|Cottage Corners|Populated Place|16588|U6|||06|CA|1|069|San Benito|36.8693981|-121.4004907|01/19/1981|
221824|Cressey|Populated Place|17078|U5|0908|060908047|06|CA|1|047|Merced|37.4196598|-120.6674207|01/19/1981|01/29/2011
221871|Crown|Populated Place|17386|U6|||06|CA|1|097|Sonoma|38.2665829|-122.6569309|01/19/1981|
221876|Crows Landing|Populated Place|17428|U5|0915|060915099|06|CA|1|099|Stanislaus|37.3938244|-121.0715976|01/19/1981|01/29/2011
221983|Dales|Populated Place|17876|U6|||06|CA|1|103|Tehama|40.3137671|-122.0716612|01/19/1981|
222332|Dew Drop|Populated Place|19135|U6|||06|CA|1|057|Nevada|39.0871178|-121.0866149|01/19/1981|07/19/2017
222531|Dos Rios|Populated Place|19668|U6|1039|061039045|06|CA|1|045|Mendocino|39.7168221|-123.3533476|01/19/1981|
222556|Douglas City|Populated Place|19724|U5|1043|061043105|06|CA|1|105|Trinity|40.6520897|-122.9447474|01/19/1981|01/29/2011
222577|Doyle|Populated Place|19878|U5|1048|061048035|06|CA|1|035|Lassen|40.0279592|-120.1038161|01/19/1981|01/29/2011
222639|Dry Creek Rancheria|Civil|0955R|D1|||06|CA|1|097|Sonoma|38.7021997|-122.8572677|01/19/1981|02/01/2019
222722|Duncans Mills|Populated Place|20130|U6|1044|061044097|06|CA|1|097|Sonoma|38.453803|-123.0550013|01/19/1981|
222739|Dunneville|Populated Place|20205|U6|||06|CA|1|069|San Benito|36.9405058|-121.4104904|01/19/1981|05/22/2015
222740|Dunnigan|Populated Place|20228|U5|1051|061051113|06|CA|1|113|Yolo|38.8851773|-121.9696908|01/19/1981|01/29/2011
222907|East Gridley|Populated Place|20676|U6|||06|CA|1|007|Butte|39.3632218|-121.6619158|01/19/1981|
223029|El Dorado|Populated Place|21866|U6|1105|061105017|06|CA|1|017|El Dorado|38.6826817|-120.8477146|01/19/1981|07/19/2017
223125|Elk River|Populated Place|22062|U6|||06|CA|1|023|Humboldt|40.7362385|-124.1742264|01/19/1981|
223166|Elm View|Populated Place|22244|U6|||06|CA|1|019|Fresno|36.5474496|-119.7912504|01/19/1981|
223294|Everglade|Populated Place|23070|U6|||06|CA|1|101|Sutter|38.9823949|-121.7674672|01/19/1981|07/19/2017
223303|Ewing|Populated Place|23112|U6|||06|CA|1|061|Placer|38.9326748|-121.3455099|01/19/1981|07/19/2017
223335|Fairmead|Populated Place|23210|U5|||06|CA|1|039|Madera|37.0763341|-120.1929487|01/19/1981|01/29/2011
223479|Fetters Hot Springs|Populated Place|23966|U3|||06|CA|1|097|Sonoma|38.3199138|-122.4860921|01/19/1981|
223482|Fiddletown|Populated Place|23980|U5|1274|061274005|06|CA|1|005|Amador|38.5037966|-120.7554891|01/19/1981|07/19/2017
223487|Fieldbrook|Populated Place|24008|U5|1273|061273023|06|CA|1|023|Humboldt|40.9656826|-124.0356196|01/19/1981|12/06/2013
223564|Five Corners|Populated Place|24302|U6|||06|CA|1|077|San Joaquin|37.8268711|-121.1441071|01/19/1981|
223678|Forest Knolls|Populated Place|24876|U3|1312|061312041|06|CA|1|041|Marin|38.0152007|-122.6885967|01/19/1981|
223696|Fort Dick|Populated Place|25086|U6|1322|061322015|06|CA|1|015|Del Norte|41.8678909|-124.1489706|01/19/1981|
223709|Fort Seward|Populated Place|25268|U6|1338|061338023|06|CA|1|023|Humboldt|40.222922|-123.6433637|01/19/1981|
223743|Four Corners|Populated Place|25413|U6|||06|CA|1|097|Sonoma|38.2757483|-122.4608135|01/19/1981|
223810|Franklin|Populated Place|25506|U5|1352|061352067|06|CA|1|067|Sacramento|38.3790776|-121.4543973|01/19/1981|07/19/2017
223907|French Gulch|Populated Place|26056|U5|1366|061366089|06|CA|1|089|Shasta|40.7007031|-122.6383512|01/19/1981|03/21/2008
223926|Freshwater Corners|Populated Place|26090|U6|||06|CA|1|023|Humboldt|40.7854066|-124.0853368|01/19/1981|12/06/2013
223946|Friant|Populated Place|27014|U5|1375|061375019|06|CA|1|019|Fresno|36.9877274|-119.7118118|01/19/1981|11/30/2015
224036|Garberville|Populated Place|28154||1395|061395023|06|CA|1|023|Humboldt|40.1001449|-123.795029|01/19/1981|12/06/2013
224126|Gerber|Populated Place|29392|U5|1416|061416103|06|CA|1|103|Tehama|40.0562678|-122.1502688|01/19/1981|01/29/2011
224138|Geyserville|Populated Place|29420|U5|1418|061418097|06|CA|1|097|Sonoma|38.707687|-122.9024964|01/19/1981|01/29/2011
224220|Glencoe|Populated Place|29714|U6|1425|061425009|06|CA|1|009|Calaveras|38.3540801|-120.5849283|01/19/1981|
224227|Glenwood|Populated Place|30195|U6|||06|CA|1|087|Santa Cruz|37.1082804|-121.9866265|01/19/1981|06/14/2017
224271|Gold Hill|Populated Place|30322|U6|||06|CA|1|017|El Dorado|38.7610132|-120.8846603|01/19/1981|07/19/2017
224509|Gravesboro|Populated Place|30840|U6|||06|CA|1|019|Fresno|36.7730053|-119.4115151|01/19/1981|04/11/2017
224537|Greenbrae|Populated Place|30952|U6|1463|061463041|06|CA|1|041|Marin|37.9485354|-122.5246979|01/19/1981|07/08/2008
