TWAY_ID,TWAY_ID2,COUNTY,LATITUDE,LONGITUD,DATE,DAY_WEEK,HOUR,LGT_COND,WEATHER,WRK_ZONE,FATALS,PEDS,MAN_COLL,FUNC_SYS,TYP_INT
SR-4001 SUMMIT RD,NO SECOND STREET,SANTA CLARA,41.47799444,-80.50709167,2016-12-17,SATURDAY,4,NIGHT,SNOW,0,1,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
I-81 AMERICAN LEGION MEM HWY,NO SECOND STREET,MARIN,40.27596389,-76.99200556,2016-12-04,SUNDAY,14,DAY,CLEAR,0,1,0,NOT APPLICABLE,INTERSTATE,NOT AN INTERSECTION
I-81 AMERICAN LEGION MEM HWY,NO SECOND STREET,MARIN,40.30913889,-76.94580278,2016-12-14,WEDNESDAY,20,NIGHT,CLEAR,0,1,0,REAR END,INTERSTATE,NOT AN INTERSECTION
I-81 AMERICAN LEGION MEM HWY,NO SECOND STREET,MARIN,40.18759167,-77.20146944,2016-12-28,WEDNESDAY,14,DAY,CLEAR,0,3,0,ANGLED,INTERSTATE,NOT AN INTERSECTION
US-422 CUMBERLAND ST,RAMONA RD,SAN FRANCISCO,40.36908333,-76.33416667,2016-11-18,FRIDAY,15,DAY,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
SR-443 OLD STATE RD,NO SECOND STREET,SAN FRANCISCO,40.51263611,-76.51393611,2016-12-27,TUESDAY,11,DAY,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
SR-3001 BUTLER RD,NO SECOND STREET,SAN FRANCISCO,40.25930278,-76.46798611,2016-10-20,THURSDAY,18,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,COLLECTOR,NOT AN INTERSECTION
KOCHENDERFER RD,NO SECOND STREET,SAN FRANCISCO,40.3695,-76.42736111,2016-11-19,SATURDAY,23,NIGHT,CLEAR,0,2,0,NOT APPLICABLE,LOCAL,NOT AN INTERSECTION
SR-136  METACOM AVE.,NO SECOND STREET,ALAMEDA,41.67639722,-71.25964444,2016-02-25,THURSDAY,19,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-1342,NO SECOND STREET,SANTA CLARA,34.01705833,-80.44639722,2016-01-06,WEDNESDAY,1,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
US-76,SR-40,SANTA CLARA,33.96512222,-80.44378333,2016-01-06,WEDNESDAY,7,DAY,CLEAR,0,1,0,ANGLED,ARTERY,FOUR WAY
US-301,NO SECOND STREET,MARIN,34.17227222,-79.70338889,2016-01-14,THURSDAY,11,DAY,CLEAR,0,1,0,ANGLED,ARTERY,NOT AN INTERSECTION
SR-3,NO SECOND STREET,SAN FRANCISCO,33.469775,-81.27197778,2016-01-17,SUNDAY,3,NIGHT,CLEAR,0,1,0,HEAD ON,ARTERY,NOT AN INTERSECTION
SR-261,NO SECOND STREET,SANTA CLARA,33.737825,-80.45653889,2016-01-17,SUNDAY,3,NIGHT,CLEAR,0,1,0,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
SR-45,NO SECOND STREET,SAN FRANCISCO,33.38533889,-80.43185,2016-02-04,THURSDAY,19,NIGHT,CLEAR,0,1,1,NOT APPLICABLE,ARTERY,NOT AN INTERSECTION
